Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_7488	RI	4	2021-Aug-09	2021-Aug-12	AY.14,21A(Delta)	NY	0.45	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_RI-CDCBI-CRSP_3RBEKQFF5INIDFHK_2021|MZ801692.1|2021-08-09_context.json?c=cluster
node_19543	RI	3	2021-Jul-30	2021-Jul-31	21A(Delta),B.1.617.2	MA	0.772727	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_RI-CDCBI-RIDOH_2GX7G4PMFB6IJLUR_2021|MZ776299.1|2021-07-31_context.json?c=cluster
node_19550	RI	3	2021-Jul-30	2021-Aug-02	21A(Delta),B.1.617.2	MA	0.889362	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_RI-CDCBI-RIDOH_GF4KMDACC3YNZZSH_2021|MZ841526.1|2021-07-31_context.json?c=cluster
node_58678	RI	3	2021-Jul-31	2021-Aug-03	AY.3,21A(Delta)	MA	0.798561	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_RI-CDCBI-CRSP_PMK5JHE3DE3BQ6FA_2021|MZ776297.1|2021-08-03_context.json?c=cluster
node_58687	RI	3	2021-Aug-02	2021-Aug-03	AY.3,21A(Delta)	MA	0.617977	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_RI-CDCBI-RIDOH_JWUZWILW6ITZTYUZ_2021|MZ841540.1|2021-08-03_context.json?c=cluster
