Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_184740	CO	398	2021-Feb-26	2021-Jul-07	20I(Alpha,V1),B.1.1.7	TX	0.214572	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CO-CDC-ASC210007106_2021|MW966899.1|2021-03-14_context.json?c=cluster
node_186408	CO	337	2021-Mar-04	2021-Jun-25	20I(Alpha,V1),B.1.1.7	IN	0.0972707	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CO-CDC-ASC210008949_2021|MW994296.1|2021-03-15_context.json?c=cluster
node_189429	CO	311	2021-Mar-16	2021-Jul-07	20I(Alpha,V1),B.1.1.7	AZ	0.205128	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CO-CDC-2-4393061_2021|MZ331026.1|2021-04-17_context.json?c=cluster
node_179949	CO	262	2021-Mar-01	2021-Jun-27	20I(Alpha,V1),B.1.1.7	FL	0.288921	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CO-CDC-2-4393085_2021|MZ331040.1|2021-04-16_context.json?c=cluster
node_165243	CO	247	2021-Feb-10	2021-Jul-13	20I(Alpha,V1),B.1.1.7	indeterminate	0	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CO-CDC-2-4462112_2021|MZ429116.1|2021-04-17_context.json?c=cluster
