Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_276915	ID	7	2021-Jul-06	2021-Jul-12	21H,B.1.621	UT	0.327103	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ID-CDC-LC0101646_2021|MZ743558.1|2021-07-08_context.json?c=cluster
node_103482	ID	12	2021-May-19	2021-Jun-30	20J(Gamma,V3),P.1	WA	0.797386	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ID-CDC-2-4513192_2021|MZ451910.1|2021-05-22_context.json?c=cluster
node_139289	ID	9	2021-Jun-01	2021-Jun-21	20I(Alpha,V1),B.1.1.7	IL	0.410091	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ID-CDC-2-4567191_2021|MZ511555.1|2021-06-07_context.json?c=cluster
node_139287	ID	7	2021-May-19	2021-Jun-21	20I(Alpha,V1),B.1.1.7	IL	0.410091	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ID-CDC-2-4513283_2021|MZ451912.1|2021-05-24_context.json?c=cluster
node_258588	ID	14	2021-Feb-02	2021-Apr-12	B.1.429,21C(Epsilon)	VA	0.515152	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ID-CDC-2-4014186_2021|MW792752.1|2021-02-02_context.json?c=cluster
