Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_185440	IA	32	2021-Mar-15	2021-May-21	20I(Alpha,V1),B.1.1.7	TX	0.153918	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_IA-CDC-2-4241985_2021|MZ082549.1|2021-04-14_context.json?c=cluster
node_258565	IA	13	2021-Mar-26	2021-May-06	B.1.429,21C(Epsilon)	MN	0.211864	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_IA-CDC-2-4175335_2021|MW989775.1|2021-03-31_context.json?c=cluster
node_18682	IA	6	2021-Jun-14	2021-Jul-17	21A(Delta),B.1.617.2	MN	0.277778	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_IA-CDC-2-4567653_2021|MZ511611.1|2021-06-17_context.json?c=cluster
node_102917	IA	6	2021-May-26	2021-Jun-11	20J(Gamma,V3),P.1	IL	0.538462	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_IA-CDC-2-4502947_2021|MZ451719.1|2021-05-26_context.json?c=cluster
node_51316	IA	3	2021-Jul-16	2021-Jul-19	21A(Delta),B.1.617.2	CA	0.511628	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_IA-CDC-ASC210157973_2021|MZ754719.1|2021-07-16_context.json?c=cluster
