Cluster ID,Region,Sample Count,Earliest Date,Latest Date,Clade/Lineage,Inferred Origins,Inferred Origin Confidences
node_29780,CO,21,2020-Nov-17,2020-Nov-19,20G,B.1.2,indeterminate,0
node_158251,CO,15,2020-Oct-26,2020-Oct-26,B.1.1.337,20B,indeterminate,0
node_205114,CO,22,2021-Feb-20,2021-Mar-05,20I/501Y.V1,B.1.1.7,TX,0.22184
node_45561,CO,33,2021-Jan-27,2021-Feb-22,B.1.429,20C,CA,0.170646
node_22343,CO,56,2020-Dec-28,2021-Feb-08,20G,B.1.2,indeterminate,0
