Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_16238	ND	7	2021-Jul-12	2021-Jul-20	21A(Delta),B.1.617.2	MN	0.0769231	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ND-CDC-2-4653695_2021|MZ709180.1|2021-07-12_context.json?c=cluster
node_22781	ND	5	2021-Jul-18	2021-Jul-22	21A(Delta),B.1.617.2	CA	0.847458	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ND-CDC-2-4679489_2021|MZ723625.1|2021-07-18_context.json?c=cluster
node_54287	ND	3	2021-Jul-19	2021-Jul-23	21A(Delta),B.1.617.2	CA	0.232205	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ND-CDC-2-4679379_2021|MZ723627.1|2021-07-19_context.json?c=cluster
node_100496	ND	6	2021-May-17	2021-May-17	20J(Gamma,V3),P.1	IN	0.886439	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ND-CDC-IBX273586933533_2021|MZ325014.1|2021-05-17_context.json?c=cluster
node_18341	ND	2	2021-Jul-21	2021-Jul-21	21A(Delta),B.1.617.2	UT	0.477612	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_ND-CDC-2-4718501_2021|MZ828318.1|2021-07-21_context.json?c=cluster
