Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_51327	CT	2	2021-Aug-03	2021-Aug-03	21A(Delta),B.1.617.2	CA	0.511628	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CT-CDCBI-CRSP_4IMSMBDISY6AZOGT_2021|MZ775830.1|2021-08-03_context.json?c=cluster
node_56241	CT	2	2021-Aug-06	2021-Aug-06	AY.25,21A(Delta)	CA	0.411765	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CT-CDC-FG-073122_2021|MZ837368.1|2021-08-06_context.json?c=cluster
node_56472	CT	2	2021-Aug-05	2021-Aug-06	AY.25,21A(Delta)	NY	0.75	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CT-CDCBI-CRSP_B7MM53YXXHPLCYJT_2021|MZ777572.1|2021-08-05_context.json?c=cluster
USA/CT-CDCBI-CRSP_6NJRKOROYGQ6JUKP/2021|MZ777571.1|2021-08-05	CT	1	2021-Aug-05	2021-Aug-05	AY.25,21A(Delta)	MA	0.714286	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CT-CDCBI-CRSP_6NJRKOROYGQ6JUKP_2021|MZ777571.1|2021-08-05_context.json?c=cluster
USA/CT-CDCBI-CRSP_CDI653ZRBDA3C723/2021|MZ830650.1|2021-08-09	CT	1	2021-Aug-09	2021-Aug-09	21A(Delta),B.1.617.2	MA	0.666667	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CT-CDCBI-CRSP_CDI653ZRBDA3C723_2021|MZ830650.1|2021-08-09_context.json?c=cluster
