Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_56166	MA	554	2021-Jul-09	2021-Aug-13	AY.25,21A(Delta)	GA	0.19	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_MA-CDC-ASC210114067_2021|MZ743463.1|2021-07-12_context.json?c=cluster
node_57105	MA	541	2021-Jun-22	2021-Aug-14	AY.25,21A(Delta)	CO	0.252781	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_MA-CDC-ASC210110985_2021|MZ706054.1|2021-07-05_context.json?c=cluster
node_21336	MA	283	2021-Jun-30	2021-Aug-14	21A(Delta),B.1.617.2	FL	0.326864	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_MA-CDC-ASC210156458_2021|MZ745323.1|2021-07-14_context.json?c=cluster
node_19515	MA	205	2021-Jul-15	2021-Aug-13	21A(Delta),B.1.617.2	AR	0.341412	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_MA-CDC-QDX27127785_2021|MZ797174.1|2021-07-19_context.json?c=cluster
node_157085	MA	765	2021-Jan-24	2021-Jun-10	20I(Alpha,V1),B.1.1.7	indeterminate	0	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_MA-CDC-2-4014198_2021|MW849831.1|2021-02-27_context.json?c=cluster
