Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_267325	PR	32	2021-Mar-29	2021-May-10	21F(Iota),B.1.526	FL	0.235714	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_PR-CDC-2-4195465_2021|MZ028658.1|2021-03-30_context.json?c=cluster
node_58731	PR	8	2021-Jul-22	2021-Jul-29	AY.3,21A(Delta)	MN	0.495798	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_PR-CDC-2-4718210_2021|MZ828359.1|2021-07-22_context.json?c=cluster
node_58064	PR	6	2021-Jul-11	2021-Jul-15	AY.3,21A(Delta)	MA	0.138955	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_PR-CDC-2-4678855_2021|MZ723581.1|2021-07-15_context.json?c=cluster
node_58075	PR	6	2021-Jul-12	2021-Jul-19	AY.3,21A(Delta)	MA	0.138955	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_PR-CDC-ASC210113336_2021|MZ703912.1|2021-07-12_context.json?c=cluster
node_267312	PR	15	2021-Mar-22	2021-Jun-03	21F(Iota),B.1.526	FL	0.235714	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_PR-CDC-2-4193862_2021|MZ055958.1|2021-04-05_context.json?c=cluster
