Cluster ID,Region,Sample Count,Earliest Date,Latest Date,Clade/Lineage,Inferred Origins,Inferred Origin Confidences
node_158244,MO,10,2021-Feb-03,2021-Feb-08,B.1.1.337,20B,indeterminate,0
node_136702,MO,4,2021-Mar-02,2021-Mar-05,B.1.1.316,20B,AZ,0.0750751
node_14681,MO,3,2021-Jan-28,2021-Feb-01,20G,B.1.2,indeterminate,0
node_17218,MO,3,2021-Jan-30,2021-Feb-04,20G,B.1.2,GA,0.4
node_20069,MO,3,2020-Dec-26,2020-Dec-27,20G,B.1.2,FL,GA,0.0552147,0.0716724
