Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade/Lineage	Inferred Origins	Inferred Origin Confidences	Link to View
node_52787	CA	1670	2021-Jun-25	2021-Aug-06	21A(Delta),B.1.617.2	indeterminate	0	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_CA-CDC-2-4718827_2021|MZ828277.1|2021-07-22_context.json?c=cluster
node_94243	AK	806	2021-Feb-04	2021-Jun-14	B.1.1.519,20B	CA	0.0606889	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_AK-CDC-2-3925167_2021|MW731217.1|2021-02-07_context.json?c=cluster
node_7283	AK	242	2021-Jun-11	2021-Jul-26	21A(Delta),B.1.617.2	NV	0.234568	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_AK-PHL10014_2021|MZ606625.1|2021-07-03_context.json?c=cluster
node_57435	AK	72	2021-Jun-14	2021-Jul-27	AY.25,21A(Delta)	MA	0.216426	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_AK-PHL10021_2021|MZ606629.1|2021-07-05_context.json?c=cluster
node_12188	AK	35	2021-Jun-22	2021-Jul-25	21A(Delta),B.1.617.2	CA	0.505435	https://nextstrain.org/fetch/raw.githubusercontent.com/jmcbroome/introduction-website/main/data/display_json/USA_AK-PHL10000_2021|MZ577452.1|2021-07-06_context.json?c=cluster
