Cluster ID,Region,Sample Count,Earliest Date,Latest Date,Clade/Lineage,Inferred Origins,Inferred Origin Confidences
node_49472,CA,169,2020-Nov-11,2020-Dec-27,B.1.311,20C,indeterminate,0
node_35541,CA,66,2021-Jan-11,2021-Feb-06,20G,B.1.2,indeterminate,0
node_35438,CA,16,2020-Dec-15,2020-Dec-15,20G,B.1.2,UT,0.0746269
node_41913,CA,209,2020-Nov-18,2021-Mar-11,B.1.427,20C,indeterminate,0
node_55175,CA,12,2020-May-08,2020-May-08,20C,B.1.371,indeterminate,0
